weatherid,year,month,day,holiday,Time,temperature,apparentTemperature,humidity,pressure,windSpeed,visibility,icon,dewPoint,cloudCover,city
1,2019,9,9,0,00:00:00,77.35,77.35,0.54,1019.04,0.79,9.976,5,59.48,0.6,1
2,2019,9,9,0,01:00:00,74.01,74.13,0.64,1019.44,1.05,9.723,5,61.25,0.43,1
3,2019,9,9,0,02:00:00,71.46,71.64,0.71,1019.68,0.81,9.61,5,61.52,0.53,1
4,2019,9,9,0,03:00:00,69.56,69.8,0.76,1019.66,0.25,9.657,5,61.69,0.46,1
5,2019,9,9,0,04:00:00,67.72,67.92,0.8,1019.8,0.69,9.954,5,61.15,0.5,1
6,2019,9,9,0,05:00:00,67.61,67.88,0.81,1020.23,0.31,10,5,61.52,0.67,1
7,2019,9,9,0,06:00:00,68.12,68.41,0.8,1020.25,0.34,10,5,61.82,0.75,1
8,2019,9,9,0,07:00:00,68.32,68.64,0.8,1020.16,0.67,10,3,62.07,0.88,1
9,2019,9,9,0,08:00:00,66.98,67.27,0.83,1020.28,0.27,10,5,61.61,0.71,1
10,2019,9,9,0,09:00:00,66.63,66.92,0.83,1020.44,0.38,10,3,61.47,0.88,1
11,2019,9,9,0,10:00:00,66.55,66.91,0.85,1021.09,0.15,10,3,61.99,1,1
12,2019,9,9,0,11:00:00,67.92,68.19,0.8,1021.63,0.95,10,3,61.6,1,1
13,2019,9,9,0,12:00:00,68.6,68.87,0.79,1022.52,0.23,9.893,3,61.77,1,1
14,2019,9,9,0,13:00:00,70.95,71.31,0.76,1022.81,0.99,9.831,3,62.91,1,1
15,2019,9,9,0,14:00:00,73.94,74.33,0.7,1023.21,0.68,9.511,4,63.62,0.81,1
16,2019,9,9,0,15:00:00,76.34,76.68,0.64,1023.36,1.49,9.549,4,63.22,0.63,1
17,2019,9,9,0,16:00:00,78.75,79,0.57,1023.01,2.13,9.914,4,62.21,0.68,1
18,2019,9,9,0,17:00:00,81.77,82.01,0.46,1022.92,3.75,7.27,4,59.13,0.63,1
19,2019,9,9,0,18:00:00,83.21,83.21,0.44,1022.59,3.89,7.287,4,59.18,0.61,1
20,2019,9,9,0,19:00:00,83.64,83.64,0.44,1022.22,3.76,7.088,4,59.2,0.61,1
21,2019,9,9,0,20:00:00,83.89,83.89,0.41,1022.27,2.77,6.616,4,57.78,0.77,1
22,2019,9,9,0,21:00:00,84.03,84.03,0.41,1022.05,3.54,6.618,3,57.96,1,1
23,2019,9,9,0,22:00:00,82.93,82.93,0.44,1022.24,3.87,7.357,3,58.82,0.94,1
24,2019,9,9,0,23:00:00,81.64,81.84,0.46,1022.36,3.72,6.509,4,58.78,0.57,1
25,2019,9,10,0,00:00:00,78.78,78.78,0.51,1022.8,2.56,6.938,5,59.1,0.36,1
26,2019,9,10,0,01:00:00,75.64,75.64,0.56,1023.6,1.25,6.619,5,58.65,0.28,1
27,2019,9,10,0,02:00:00,74.63,74.63,0.57,1024.33,0.71,7.029,5,58.55,0.26,1
28,2019,9,10,0,03:00:00,73.04,73.04,0.61,1024.39,1.19,7.298,2,58.63,0.11,1
29,2019,9,10,0,04:00:00,71.75,71.81,0.68,1024.49,1.72,7.096,2,60.51,0.08,1
30,2019,9,10,0,05:00:00,70.5,70.71,0.74,1024.57,1.27,6.241,2,61.69,0,1
31,2019,9,10,0,06:00:00,69.5,69.98,0.82,1024.89,0.47,4.794,2,63.64,0,1
32,2019,9,10,0,07:00:00,67.88,68.38,0.85,1025.08,0.22,4.754,2,63.29,0.08,1
33,2019,9,10,0,08:00:00,68.01,68.55,0.86,1025.1,0.52,4.911,2,63.65,0.07,1
34,2019,9,10,0,09:00:00,67.75,68.25,0.86,1025.97,1.04,4.079,5,63.3,0.19,1
35,2019,9,10,0,10:00:00,67.77,68.32,0.87,1026.07,1.47,4.14,5,63.66,0.38,1
36,2019,9,10,0,11:00:00,67.53,68.16,0.89,1026.87,1.52,3.972,4,64.15,0.34,1
37,2019,9,10,0,12:00:00,70.37,71.15,0.86,1026.92,1.28,5.611,4,66.04,0.72,1
38,2019,9,10,0,13:00:00,73.64,74.54,0.81,1027.31,2.27,5.661,4,67.6,0.58,1
39,2019,9,10,0,14:00:00,76.26,77.05,0.74,1027.61,3.55,5.783,4,67.23,0.43,1
40,2019,9,10,0,15:00:00,79.32,79.82,0.61,1027.26,4.71,7.102,4,64.69,0.63,1
41,2019,9,10,0,16:00:00,82.21,83.49,0.53,1027.01,5.23,7.308,4,63.45,0.46,1
42,2019,9,10,0,17:00:00,84.17,84.43,0.46,1026.43,5.47,5.731,4,60.86,0.61,1
43,2019,9,10,0,18:00:00,85.59,85.6,0.43,1025.87,6.71,7.267,4,60.55,0.45,1
44,2019,9,10,0,19:00:00,86.56,86.56,0.4,1025.31,6.66,6.825,4,59.65,0.5,1
45,2019,9,10,0,20:00:00,86.86,86.88,0.42,1025.14,5.95,7.11,4,60.86,0.61,1
46,2019,9,10,0,21:00:00,86.39,86.72,0.44,1024.87,6.73,7.114,4,61.63,0.45,1
47,2019,9,10,0,22:00:00,85.25,86.04,0.47,1024.64,5.37,7.199,4,62.65,0.33,1
48,2019,9,10,0,23:00:00,83.19,84.48,0.52,1024.6,4.94,6.695,1,63.68,0.03,1
49,2019,9,11,0,00:00:00,80.21,81.85,0.58,1024.61,4.37,6.441,2,64.15,0.02,1
50,2019,9,11,0,01:00:00,77.29,77.82,0.66,1024.74,5.3,7.12,2,65.06,0.02,1
51,2019,9,11,0,02:00:00,75.68,76.29,0.71,1024.81,4.41,7.04,2,65.6,0.02,1
52,2019,9,11,0,03:00:00,74.07,74.77,0.77,1024.8,4.28,6.269,2,66.26,0.06,1
53,2019,9,11,0,04:00:00,73.05,73.79,0.8,1025.09,4.13,6.226,2,66.36,0.06,1
54,2019,9,11,0,05:00:00,72.31,73.14,0.83,1025.21,3.28,6.008,2,66.84,0.01,1
55,2019,9,11,0,06:00:00,70.92,71.76,0.86,1025.14,3.19,6.236,2,66.55,0.02,1
56,2019,9,11,0,07:00:00,70.12,71.09,0.91,1024.66,2.54,5.157,2,67.27,0.02,1
57,2019,9,11,0,08:00:00,69.79,70.82,0.93,1024.19,3.44,10,5,67.54,0.31,1
58,2019,9,11,0,09:00:00,69.66,70.77,0.95,1023.87,3.76,5.619,5,68.06,0.52,1
59,2019,9,11,0,10:00:00,69.86,70.96,0.94,1023.76,3.48,6.436,5,68.08,0.53,1
60,2019,9,11,0,11:00:00,69.62,70.75,0.95,1023.87,3.17,6.082,4,68.12,0.34,1
61,2019,9,11,0,12:00:00,70.98,72.13,0.93,1024.15,2.94,5.676,4,68.73,0.58,1
62,2019,9,11,0,13:00:00,73.89,74.98,0.85,1024.18,4.02,4.311,4,69.16,0.73,1
63,2019,9,11,0,14:00:00,77.34,78.43,0.78,1024.02,4.66,5.513,4,69.84,0.49,1
64,2019,9,11,0,15:00:00,81.61,85.62,0.69,1023.39,4,10,4,70.66,0.42,1
65,2019,9,11,0,16:00:00,82.49,89.57,0.78,1022.85,4.61,10,4,75.11,0.36,1
66,2019,9,11,0,17:00:00,88.66,93.99,0.54,1021.76,4.26,7.396,1,70.11,0,1
67,2019,9,11,0,18:00:00,91.77,97.41,0.49,1020.53,4.13,6.829,1,69.74,0.02,1
68,2019,9,11,0,19:00:00,93.27,98.44,0.45,1019.49,4.09,6.053,1,68.82,0.08,1
69,2019,9,11,0,20:00:00,94.28,99.23,0.43,1018.44,5,7.028,4,68.31,0.14,1
70,2019,9,11,0,21:00:00,91.82,95.4,0.44,1018.35,4.44,8.458,4,67.09,0.26,1
71,2019,9,11,0,22:00:00,83.39,88.25,0.67,1018.56,4.72,8.937,6,71.15,0.43,1
72,2019,9,11,0,23:00:00,81.75,86.07,0.7,1018.52,3.45,7.65,4,71.2,0.16,1
73,2019,9,12,0,00:00:00,80.21,83.79,0.74,1018.66,2.57,7.697,5,71.05,0.16,1
74,2019,9,12,0,01:00:00,78.42,79.59,0.77,1018.94,2.67,6.935,5,70.76,0.34,1
75,2019,9,12,0,02:00:00,77.5,78.64,0.79,1019.09,2.16,7.476,2,70.35,0.01,1
76,2019,9,12,0,03:00:00,75.88,77,0.82,1019.03,2.28,7.12,5,69.89,0.15,1
77,2019,9,12,0,04:00:00,75.36,76.51,0.83,1018.64,1.68,6.35,2,69.94,0.07,1
78,2019,9,12,0,05:00:00,74.97,76.15,0.85,1018.35,1.76,5.906,5,70.08,0.13,1
79,2019,9,12,0,06:00:00,74.66,75.8,0.85,1018.11,2.83,5.765,5,69.75,0.3,1
80,2019,9,12,0,07:00:00,74.36,75.43,0.84,1017.51,2.33,5.676,5,69.09,0.24,1
81,2019,9,12,0,08:00:00,74.34,75.44,0.84,1017.41,2.12,5.756,2,69.26,0.1,1
82,2019,9,12,0,09:00:00,73.87,74.89,0.84,1017.78,2.24,5.991,2,68.67,0.12,1
83,2019,9,12,0,10:00:00,74.01,75.03,0.83,1018.3,2.08,5.997,5,68.63,0.16,1
84,2019,9,12,0,11:00:00,73.89,74.92,0.84,1018.87,0.63,5.616,1,68.69,0.03,1
85,2019,9,12,0,12:00:00,76.31,77.32,0.78,1019.24,2.21,6.431,1,69.1,0.07,1
86,2019,9,12,0,13:00:00,80.48,83.55,0.69,1019.1,2.61,6.784,1,69.22,0.08,1
87,2019,9,12,0,14:00:00,85.58,90.03,0.59,1019.3,4.68,7.331,4,69.71,0.13,1
88,2019,9,12,0,15:00:00,88.85,93.26,0.52,1019.15,7.4,7.205,1,68.87,0.12,1
89,2019,9,12,0,16:00:00,90.98,94.91,0.47,1018.74,8.54,6.874,1,67.77,0.06,1
90,2019,9,12,0,17:00:00,92.71,96.64,0.44,1018.17,8.3,10,1,67.39,0.09,1
91,2019,9,12,0,18:00:00,94.88,98.62,0.4,1018.07,7.06,7.596,4,66.6,0.36,1
92,2019,9,12,0,19:00:00,95.17,98.1,0.38,1017.49,7.28,7.416,4,65.37,0.44,1
93,2019,9,12,0,20:00:00,95.82,97.88,0.35,1017.21,5.84,6.876,4,63.82,0.44,1
94,2019,9,12,0,21:00:00,94.29,96.16,0.37,1017,5.29,6.15,4,63.91,0.6,1
95,2019,9,12,0,22:00:00,88.01,91.12,0.5,1017.49,6.52,5.046,4,67.14,0.74,1
96,2019,9,12,0,23:00:00,86.58,90.51,0.55,1018.05,2.15,5.812,4,68.69,0.27,1
97,2019,9,13,0,00:00:00,85.23,89.63,0.6,1018.37,1.39,5.858,5,69.72,0.74,1
98,2019,9,13,0,01:00:00,83.92,87.87,0.62,1019.43,3.71,6.677,3,69.4,0.95,1
99,2019,9,13,0,02:00:00,80.4,83.62,0.7,1020.41,5.97,7.217,5,69.75,0.76,1
100,2019,9,13,0,03:00:00,77.92,79,0.76,1021.33,5.62,6.144,5,69.84,0.69,1
101,2019,9,13,0,04:00:00,76.63,77.76,0.8,1021.98,6.55,6.853,3,70.07,0.91,1
102,2019,9,13,0,05:00:00,75.22,76.27,0.82,1022.51,6.55,6.694,3,69.18,1,1
103,2019,9,13,0,06:00:00,73.66,74.66,0.84,1022.76,6.79,6.823,3,68.37,1,1
104,2019,9,13,0,07:00:00,72.1,73.11,0.87,1023.46,6.32,5.216,3,68.09,1,1
105,2019,9,13,0,08:00:00,70.44,71.47,0.91,1023.98,5.98,4.112,3,67.77,1,1
106,2019,9,13,0,09:00:00,69.02,69.94,0.92,1024.52,7.09,5.315,3,66.55,1,1
107,2019,9,13,0,10:00:00,68.62,69.41,0.9,1025.28,5.64,4.89,3,65.56,1,1
108,2019,9,13,0,11:00:00,68.01,68.74,0.9,1025.98,6.07,4.525,3,65,1,1
109,2019,9,13,0,12:00:00,67.34,67.93,0.88,1026.88,6.67,6.781,3,63.78,1,1
110,2019,9,13,0,13:00:00,67.77,68.1,0.82,1027.58,6.41,6.592,3,62.04,1,1
111,2019,9,13,0,14:00:00,68.17,68.35,0.78,1028.15,6.56,7.181,3,61.05,1,1
112,2019,9,13,0,15:00:00,69.14,69.25,0.74,1028.55,6.72,7.243,3,60.63,1,1
113,2019,9,13,0,16:00:00,69.44,69.5,0.73,1028.74,7.31,6.846,3,60.3,1,1
114,2019,9,13,0,17:00:00,70.2,70.28,0.71,1028.9,6.62,6.519,3,60.52,1,1
115,2019,9,13,0,18:00:00,70.65,70.73,0.7,1029,6.15,6.942,3,60.55,1,1
116,2019,9,13,0,19:00:00,71.12,71.12,0.68,1028.57,7.38,6.725,3,59.92,1,1
117,2019,9,13,0,20:00:00,71.71,71.71,0.65,1028.44,6.69,7.28,3,59.17,1,1
118,2019,9,13,0,21:00:00,71.11,71.11,0.65,1028.46,6.15,7.128,3,58.69,1,1
119,2019,9,13,0,22:00:00,71.06,71.06,0.65,1028.55,5.48,6.91,3,58.71,0.95,1
120,2019,9,13,0,23:00:00,70.81,70.81,0.66,1028.19,4.48,6.868,3,59.01,1,1
121,2019,9,14,1,00:00:00,70.28,70.28,0.69,1028.44,4.54,6.434,3,59.49,1,1
122,2019,9,14,1,01:00:00,70.16,70.19,0.71,1028.89,4.95,6.889,3,60.16,1,1
123,2019,9,14,1,02:00:00,69.82,69.87,0.72,1028.69,4.49,6.376,3,60.23,1,1
124,2019,9,14,1,03:00:00,69.03,69.03,0.72,1028.39,4.38,6.401,3,59.71,1,1
125,2019,9,14,1,04:00:00,68.7,68.7,0.72,1028.26,3.63,5.739,3,59.35,0.99,1
126,2019,9,14,1,05:00:00,67.53,67.53,0.75,1027.82,3.56,5.492,5,59.41,0.8,1
127,2019,9,14,1,06:00:00,66.98,66.98,0.76,1027.36,3.22,5.765,3,59.34,0.91,1
128,2019,9,14,1,07:00:00,66.26,66.28,0.79,1026.47,3.43,5.313,5,59.41,0.54,1
129,2019,9,14,1,08:00:00,65.96,66.02,0.8,1026.29,1.51,4.71,5,59.63,0.74,1
130,2019,9,14,1,09:00:00,65.86,65.97,0.81,1026.18,2.87,4.796,3,59.94,0.97,1
131,2019,9,14,1,10:00:00,66.05,66.26,0.83,1025.98,2.94,6.54,3,60.74,0.99,1
132,2019,9,14,1,11:00:00,66.68,66.91,0.82,1026.07,2.2,6.352,3,61.09,1,1
133,2019,9,14,1,12:00:00,67.43,67.77,0.83,1026.29,2.29,6.521,3,62.03,1,1
134,2019,9,14,1,13:00:00,68.82,69.22,0.81,1026.21,3.04,6.382,3,62.87,1,1
135,2019,9,14,1,14:00:00,70.77,71.26,0.79,1026.31,4.61,5.977,3,63.92,1,1
136,2019,9,14,1,15:00:00,72.76,73.29,0.76,1025.98,4.9,6.631,3,64.61,1,1
137,2019,9,14,1,16:00:00,75.58,76.15,0.7,1025.33,5.85,6.19,3,65.28,1,1
138,2019,9,14,1,17:00:00,77.75,78.32,0.66,1024.58,6.4,6.094,3,65.42,1,1
139,2019,9,14,1,18:00:00,78.56,79.15,0.64,1023.82,6.02,6.42,3,65.59,1,1
140,2019,9,14,1,19:00:00,79.07,79.7,0.64,1022.9,6.84,6.212,3,65.99,1,1
141,2019,9,14,1,20:00:00,79.34,81.51,0.65,1022.52,6.09,6.379,3,66.7,1,1
142,2019,9,14,1,21:00:00,79.96,82.22,0.64,1021.84,6.95,6.604,3,66.78,0.96,1
143,2019,9,14,1,22:00:00,79.87,82.21,0.65,1022.02,6.31,6.589,3,67.15,1,1
144,2019,9,14,1,23:00:00,78.97,79.76,0.68,1021.37,4.36,6.564,3,67.51,1,1
145,2019,9,15,1,00:00:00,77.98,78.85,0.72,1022.06,2.04,6.968,3,68.14,1,1
146,2019,9,15,1,01:00:00,77.47,78.41,0.74,1022.13,2.5,6.921,3,68.72,1,1
147,2019,9,15,1,02:00:00,77.16,78.13,0.76,1022.46,2.7,6.952,3,68.85,1,1
148,2019,9,15,1,03:00:00,76.98,77.98,0.77,1021.98,2.77,6.769,3,69.07,0.96,1
149,2019,9,15,1,04:00:00,75.65,76.72,0.81,1021.32,1.29,7.084,5,69.42,0.65,1
150,2019,9,15,1,05:00:00,74.57,75.65,0.84,1021.2,1.72,7.148,5,69.24,0.77,1
151,2019,9,15,1,06:00:00,75.35,76.53,0.84,1021.52,2.4,6.66,3,70.18,0.94,1
152,2019,9,15,1,07:00:00,75.23,76.47,0.85,1021.33,1.72,6.999,3,70.55,0.94,1
153,2019,9,15,1,08:00:00,74.85,76.1,0.87,1021.22,0.76,6.88,3,70.57,1,1
154,2019,9,15,1,09:00:00,74.04,75.31,0.89,1021.41,1.61,6.969,3,70.44,1,1
155,2019,9,15,1,10:00:00,73.62,74.84,0.89,1021.81,2.69,6.338,3,70.02,0.9,1
156,2019,9,15,1,11:00:00,72.72,73.9,0.9,1021.67,2.69,5.881,4,69.5,0.67,1
157,2019,9,15,1,12:00:00,72.5,73.63,0.89,1022.04,3.54,6.37,4,69.04,0.47,1
158,2019,9,15,1,13:00:00,75.93,76.48,0.69,1022.18,4.65,6.749,1,65.12,0.09,1
159,2019,9,15,1,14:00:00,78.39,78.6,0.57,1022.6,5.72,7.155,4,61.8,0.27,1
160,2019,9,15,1,15:00:00,80.11,81,0.51,1022.72,5.29,6.904,4,60.37,0.3,1
161,2019,9,15,1,16:00:00,81.23,81.44,0.46,1022.29,5.71,6.395,1,58.27,0.02,1
162,2019,9,15,1,17:00:00,83.03,83.03,0.41,1021.6,4.09,6.927,1,57.2,0,1
163,2019,9,15,1,18:00:00,85.04,85.04,0.36,1021.05,4.84,6.206,1,55.15,0,1
164,2019,9,15,1,19:00:00,86.51,86.51,0.32,1020.41,4.97,7.316,1,53.57,0,1
165,2019,9,15,1,20:00:00,87.28,87.28,0.3,1019.8,4.68,9.881,1,52.18,0,1
166,2019,9,15,1,21:00:00,87.05,87.05,0.33,1019.53,4.12,10,1,54.15,0,1
167,2019,9,15,1,22:00:00,85.77,85.77,0.37,1019.75,3.69,10,1,56.16,0,1
168,2019,9,15,1,23:00:00,82.48,82.48,0.42,1019.81,3.32,10,1,57.4,0,1
169,2019,9,16,0,00:00:00,78.81,78.81,0.5,1019.87,3.22,10,2,58.76,0,1
170,2019,9,16,0,01:00:00,75.93,75.93,0.58,1020.01,2.97,10,2,59.95,0,1
171,2019,9,16,0,02:00:00,73.82,73.93,0.65,1020.27,2.39,10,2,61.11,0,1
172,2019,9,16,0,03:00:00,72.34,72.6,0.71,1020.2,2.15,10,2,62.26,0,1
173,2019,9,16,0,04:00:00,71.21,71.57,0.75,1019.87,1.8,10,2,62.98,0,1
174,2019,9,16,0,05:00:00,70.44,70.86,0.78,1019.75,1.69,10,2,63.3,0,1
175,2019,9,16,0,06:00:00,69.68,70.13,0.81,1019.23,1.61,10,2,63.44,0,1
176,2019,9,16,0,07:00:00,68.71,69.19,0.83,1019.06,1.9,10,2,63.41,0.03,1
177,2019,9,16,0,08:00:00,67.63,68.09,0.85,1019.74,2.31,10,2,62.99,0.08,1
178,2019,9,16,0,09:00:00,66.73,67,0.83,1019.81,2.5,10,5,61.36,0.14,1
179,2019,9,16,0,10:00:00,65.45,65.73,0.86,1019.79,2.44,10,5,61.1,0.16,1
180,2019,9,16,0,11:00:00,64.69,65.02,0.89,1019.76,2.25,10,4,61.22,0.17,1
181,2019,9,16,0,12:00:00,65.56,65.94,0.88,1019.69,2.25,10,4,61.82,0.16,1
182,2019,9,16,0,13:00:00,69.67,70.07,0.79,1019.6,2.61,10,4,62.98,0.16,1
183,2019,9,16,0,14:00:00,75.8,76.3,0.68,1019.29,3.16,10,4,64.64,0.14,1
184,2019,9,16,0,15:00:00,80.67,82.73,0.61,1018.55,3.83,10,4,65.85,0.13,1
185,2019,9,16,0,16:00:00,83.23,85.4,0.56,1017.89,4.63,10,1,65.96,0.11,1
186,2019,9,16,0,17:00:00,85.3,87.24,0.51,1017.63,5.51,10,1,65.35,0.09,1
187,2019,9,16,0,18:00:00,86.93,88.63,0.48,1016.93,6.16,10,1,64.78,0.07,1
188,2019,9,16,0,19:00:00,88.01,89.67,0.46,1016.04,6.48,10,1,64.61,0.06,1
189,2019,9,16,0,20:00:00,88.2,89.68,0.45,1014.96,6.6,10,1,64.25,0.07,1
190,2019,9,16,0,21:00:00,88.55,89.87,0.44,1014.73,6.51,10,1,63.89,0.08,1
191,2019,9,16,0,22:00:00,87.34,88.67,0.46,1014.52,6.03,10,1,64,0.12,1
192,2019,9,16,0,23:00:00,84.81,86.35,0.51,1014.62,5.33,10,4,64.48,0.17,1
193,2019,9,9,0,00:00:00,82.68,89.21,0.76,1016.47,1.06,10,6,74.16,0.44,2
194,2019,9,9,0,01:00:00,79.37,83.37,0.84,1016.58,1.42,8.522,6,74.27,0.44,2
195,2019,9,9,0,02:00:00,77.95,79.56,0.88,1016.94,1.37,8.288,6,73.99,0.19,2
196,2019,9,9,0,03:00:00,77.01,78.6,0.89,1017.42,1.61,8.209,2,73.6,0,2
197,2019,9,9,0,04:00:00,76.64,78.22,0.9,1017.52,1.35,8.181,6,73.37,0.19,2
198,2019,9,9,0,05:00:00,75.96,77.48,0.9,1017.53,1.41,7.949,6,72.79,0.19,2
199,2019,9,9,0,06:00:00,74.49,76.03,0.93,1017.45,1.45,6.807,2,72.47,0,2
200,2019,9,9,0,07:00:00,73.99,75.43,0.92,1017.4,0.65,7.248,2,71.65,0,2
201,2019,9,9,0,08:00:00,73.56,74.98,0.93,1017.56,0.63,7.647,6,71.36,0.19,2
202,2019,9,9,0,09:00:00,73.44,74.9,0.94,1017.93,0.94,6.085,6,71.56,0.75,2
203,2019,9,9,0,10:00:00,73.89,75.38,0.94,1018.39,1.45,5.978,6,71.97,0.75,2
204,2019,9,9,0,11:00:00,74.08,75.62,0.94,1019.1,1.71,5.637,3,72.34,1,2
205,2019,9,9,0,12:00:00,74.21,75.78,0.95,1020.02,2.09,5.676,3,72.61,1,2
206,2019,9,9,0,13:00:00,75.04,76.65,0.94,1020.77,2.45,6.326,3,73.08,1,2
207,2019,9,9,0,14:00:00,76.21,77.83,0.91,1021.4,2.98,6.792,3,73.5,1,2
208,2019,9,9,0,15:00:00,78,79.56,0.86,1021.4,2.87,8.304,3,73.61,1,2
209,2019,9,9,0,16:00:00,80.36,85.18,0.81,1022.03,3.21,10,3,74.06,1,2
210,2019,9,9,0,17:00:00,81.84,88.03,0.78,1021.78,4.35,9.764,3,74.49,1,2
211,2019,9,9,0,18:00:00,82.68,88.96,0.75,1020.98,3.24,10,5,73.81,0.75,2
212,2019,9,9,0,19:00:00,84.38,91.61,0.71,1020.57,3.34,9.993,5,73.91,0.75,2
213,2019,9,9,0,20:00:00,85.44,92.75,0.68,1020.14,4.62,10,5,73.47,0.75,2
214,2019,9,9,0,21:00:00,85.83,92.77,0.65,1019.75,4.25,10,5,72.87,0.44,2
215,2019,9,9,0,22:00:00,85.19,91.64,0.66,1019.95,2.81,9.641,5,72.55,0.44,2
216,2019,9,9,0,23:00:00,83.83,89.89,0.69,1020.54,2.47,9.376,1,72.69,0,2
217,2019,9,10,0,00:00:00,81.04,86.1,0.78,1021.77,0.3,9.469,2,73.45,0,2
218,2019,9,10,0,01:00:00,78.44,79.93,0.84,1022.26,0.83,6.298,2,73.18,0,2
219,2019,9,10,0,02:00:00,76.56,77.96,0.86,1022.7,1.76,7.913,2,72.1,0,2
220,2019,9,10,0,03:00:00,75.22,76.54,0.87,1022.56,2.02,10,2,71.2,0,2
221,2019,9,10,0,04:00:00,73.93,75.23,0.89,1022.3,1.22,7.732,2,70.63,0,2
222,2019,9,10,0,05:00:00,73.3,74.59,0.9,1022.29,2.19,10,2,70.34,0,2
223,2019,9,10,0,06:00:00,71.59,72.81,0.93,1023.23,2.72,10,6,69.37,0.44,2
224,2019,9,10,0,07:00:00,71.06,72.17,0.92,1023.18,2.38,9.793,6,68.52,0.44,2
225,2019,9,10,0,08:00:00,71.38,72.6,0.93,1023.5,2.11,7.618,6,69.32,0.75,2
226,2019,9,10,0,09:00:00,71.06,72.31,0.94,1023.63,1.14,9.004,3,69.39,1,2
227,2019,9,10,0,10:00:00,70.76,72,0.95,1024.61,1.05,9.139,3,69.28,1,2
228,2019,9,10,0,11:00:00,70.87,72.1,0.95,1025.04,0.57,6.594,3,69.22,1,2
229,2019,9,10,0,12:00:00,71.75,73,0.93,1025.76,0.94,9.046,3,69.62,1,2
230,2019,9,10,0,13:00:00,74.32,75.6,0.88,1025.87,1.52,10,5,70.63,0.75,2
231,2019,9,10,0,14:00:00,78.45,79.76,0.8,1026.31,2.89,10,5,71.85,0.44,2
232,2019,9,10,0,15:00:00,81.7,85.92,0.7,1026.04,1.81,10,5,71.06,0.19,2
