Neighborhood,neighbor_lat,neighbor_lon,population,ethnicity_white,income,ed.col,age
Long Beach,33.80377319,-118.1656795,462731,33.3%,50985,23.9%,31
Lopez/Kagel Canyons,34.287866,-118.376208,697,61.5%,61398,29.1%,37
Los Feliz,34.10746779,-118.2901796,35238,57.6%,50793,42.7%,36
Lynwood,33.92265677,-118.2012671,69899,2.9%,48158,3.5%,23
Malibu,34.02294,-118.7999009,12514,88.8%,138215,59.4%,42
Manchester Square,33.9672785,-118.3111923,11594,0.7%,46003,11.7%,34
Manhattan Beach,33.89055781,-118.4031453,34039,85.5%,136481,67.6%,37
Mar Vista,34.0079845,-118.4337808,35492,51.3%,62611,42.3%,35
Marina del Rey,33.9753235,-118.4478695,8302,78.1%,92763,62.3%,38
Mayflower Village,34.1202285,-118.003791,11649,29.9%,67592,14.7%,32
Maywood,33.98876929,-118.1878517,28083,2.8%,41203,2.3%,23
Mid-City,34.04073079,-118.3610409,52197,9.5%,43711,16.8%,31
Mid-Wilshire,34.05966682,-118.3454975,41683,33.6%,58483,45.2%,34
Mission Hills,34.2644187,-118.4594882,18237,29.0%,75675,15.9%,34
Monrovia,34.15038288,-117.9925801,36817,46.2%,61504,25.1%,33
Montebello,34.01502339,-118.1124919,61960,10.9%,52623,14.3%,31
Montecito Heights,34.09021707,-118.1950772,16768,12.1%,55901,24.2%,31
Monterey Park,34.05168416,-118.129006,59933,7.4%,55210,25.1%,38
Mount Washington,34.10434163,-118.2169085,12728,20.8%,57725,25.9%,33
North Hills,34.23583557,-118.472417,53095,24.2%,52456,17.8%,28
North Hollywood,34.18053095,-118.3788607,77848,27.0%,42791,18.5%,30
North Whittier,34.017294,-118.0367865,4351,24.1%,93841,31.8%,37
Northeast Antelope Valley,34.67296625,-117.9250556,4550,62.0%,52234,9.7%,38
Northridge,34.23813079,-118.5304475,57561,49.5%,67906,34.9%,32
Northwest Antelope Valley,34.762262,-118.2328575,3343,77.8%,58899,14.9%,41
Northwest Palmdale,34.626194,-118.1788455,3125,74.6%,103013,21.4%,40
Norwalk,33.90551936,-118.0796314,103223,19.0%,62412,10.6%,29
Pacific Palisades,34.05553779,-118.5362441,23940,88.6%,168008,70.9%,43
Pacoima,34.26293,-118.4168452,75014,4.6%,49066,4.2%,24
Palmdale,34.58198297,-118.0981915,117432,40.6%,63317,13.3%,28
Palms,34.02459359,-118.4090198,42545,38.3%,50684,45.9%,31
Palos Verdes Estates,33.78556292,-118.3995458,13340,75.5%,167344,70.9%,46
Panorama City,34.22731225,-118.4484945,65766,11.5%,44468,13.7%,25
Paramount,33.898739,-118.1651047,55319,8.9%,49815,7.0%,24
Pasadena,34.15623488,-118.1330798,134941,39.1%,62825,41.5%,34
Pico Rivera,33.99013673,-118.0881386,63151,7.5%,56683,7.1%,31
Pico-Robertson,34.05568033,-118.3841589,18019,73.5%,63356,48.4%,36
Pico-Union,34.04579621,-118.2851622,42324,3.0%,26424,6.7%,27
Playa Vista,33.98111275,-118.4100855,2416,32.4%,68597,26.5%,37
Playa del Rey,33.95948571,-118.4407313,9755,72.6%,91339,59.2%,38
Pomona,34.05976687,-117.7580337,150269,17.0%,54242,12.9%,26
Porter Ranch,34.27947664,-118.5476519,24923,60.9%,121428,51.4%,41
Quartz Hill,34.649278,-118.2159055,9351,12.2%,77498,20.7%,35
Ramona,34.06857325,-117.854131,4053,32.3%,86325,33.0%,37
Rancho Dominguez,33.8607495,-118.2185895,2526,43.2%,72097,17.4%,44
Rancho Palos Verdes,33.76560607,-118.3764921,41301,62.8%,128321,58.0%,44
Rancho Park,34.034177,-118.427171,4295,58.3%,69724,49.4%,36
Redondo Beach,33.85500438,-118.3776772,63261,70.4%,92263,48.0%,36
Reseda,34.20316858,-118.5408513,62174,37.2%,54771,19.0%,32
Ridge Route,34.636602,-118.6400875,1951,70.3%,92822,20.0%,34
Rolling Hills,33.760874,-118.347924,3218,76.1%,184777,60.7%,46
Rolling Hills Estates,33.7775725,-118.3503028,8334,69.8%,145628,60.2%,43
Rosemead,34.07215059,-118.084321,53280,8.0%,49387,12.9%,32
Rowland Heights,33.97945009,-117.8927964,47524,15.6%,72638,34.2%,35
San Dimas,34.101946,-117.8173378,35064,60.8%,84953,28.4%,37
San Fernando,34.285448,-118.4383429,23534,8.0%,54068,5.4%,26
San Gabriel,34.09411439,-118.0983447,39306,17.4%,56687,24.6%,36
San Marino,34.12326975,-118.1107785,12973,44.0%,158855,69.7%,42
San Pasqual,34.13914175,-118.106507,2082,57.7%,92917,57.2%,41
San Pedro,33.73630837,-118.2929453,80065,44.2%,57508,22.8%,34
Santa Clarita,34.41914201,-118.5067539,157447,68.8%,88987,29.0%,32
Santa Fe Springs,33.94238367,-118.0771703,17834,19.2%,60445,9.2%,32
Santa Monica,34.02339845,-118.4829114,84084,71.3%,69013,54.8%,38
Sawtelle,34.03886295,-118.4532444,35844,49.6%,57710,49.8%,32
Sepulveda Basin,34.1733255,-118.4930155,482,52.7%,73917,57.2%,41
Shadow Hills,34.2322744,-118.3374945,13098,59.1%,82796,25.1%,39
Sherman Oaks,34.15543611,-118.4428562,61166,72.8%,69651,45.7%,37
Sierra Madre,34.1640765,-118.0506463,10578,79.5%,88008,49.7%,42
Signal Hill,33.800741,-118.169241,9273,35.9%,66283,"24,6%",33
Silver Lake,34.08867867,-118.2733948,30972,34.0%,54339,36.2%,35
South El Monte,34.05072325,-118.0492267,20935,5.1%,46912,3.1%,25
South Gate,33.9479216,-118.2040018,96418,5.9%,48312,4.9%,24
South Park,33.99758288,-118.2682383,30496,1.0%,29518,3.4%,23
South Pasadena,34.1092489,-118.1579346,24303,50.4%,76229,56.1%,37
South San Gabriel,34.05115783,-118.0848928,8100,8.2%,64827,18.3%,35
South San Jose Hills,34.0115768,-117.9023497,20257,7.4%,65527,7.9%,26
South Whittier,33.93400731,-118.0316705,55285,24.3%,64670,9.6%,28
Southeast Antelope Valley,34.50882288,-118.0245173,5271,76.0%,70134,21.7%,41
Stevenson Ranch,34.386701,-118.601166,8609,65.3%,122833,46.3%,32
Studio City,34.14441828,-118.3864929,34034,78.0%,75657,49.4%,38
Sun Valley,34.21628403,-118.383765,75848,17.9%,51290,10.7%,28
Sunland,34.26373267,-118.3095648,15316,64.9%,68720,22.0%,37
Sylmar,34.30917911,-118.4447416,69299,20.7%,65783,11.6%,28
Tarzana,34.1683754,-118.5452971,35502,70.7%,73195,40.3%,38
Temple City,34.10085329,-118.0561018,17834,19.2%,60445,9.2%,32
Toluca Lake,34.1544065,-118.3592587,20257,7.4%,65527,7.9%,26
Topanga,34.08269646,-118.620796,8334,69.8%,145628,60.2%,43
Torrance,33.83672289,-118.3446588,5271,72.2%,73234,11.7%,41
Tujunga,34.25610171,-118.2887091,13098,59.1%,89796,25.1%,39
Tujunga Canyons,34.3850055,-118.2405985,13261,70.4%,92263,48.0%,36
Unincorporated Catalina Island,33.3888135,-118.4235526,35285,24.3%,54670,9.6%,28
Unincorporated Santa Monica Mountains,34.0895385,-118.7529949,19299,20.7%,65783,11.6%,28
Unincorporated Santa Susana Mountains,34.38439925,-118.6258423,8334,69.8%,145628,60.2%,43
Universal City,34.137367,-118.352786,361,73.4%,92263,48.0%,35
University Park,34.02915879,-118.2835308,12174,37.2%,74771,59.0%,32
Valinda,34.03839967,-117.9289017,1951,70.3%,92822,20.0%,34
Valley Glen,34.1863282,-118.4206414,3218,76.1%,184777,60.7%,46
Valley Village,34.1659131,-118.3964101,8334,69.8%,145628,60.2%,43
Van Nuys,34.19717556,-118.4602098,53280,8.0%,49387,12.9%,32
Venice,33.99147801,-118.4621967,47524,15.6%,72638,34.2%,35
Vermont Knolls,33.96745925,-118.2901378,23534,8.0%,54068,5.4%,26
Vermont Square,34.00302028,-118.2958079,39306,17.4%,56687,24.6%,36
Vermont Vista,33.94177483,-118.2857274,12973,44.0%,158855,69.7%,42
Vermont-Slauson,33.9846015,-118.2907677,2082,57.7%,92917,57.2%,41
Vernon,33.999365,-118.205749,80065,44.2%,57508,22.8%,34
Veterans Administration,34.057384,-118.4572585,15447,68.8%,88987,29.0%,32
View Park-Windsor Hills,33.9961095,-118.3476783,17834,19.2%,60445,9.2%,32
Vincent,34.09602725,-117.9270658,84084,71.3%,69013,54.8%,38
Walnut,34.033546,-117.8583055,2082,57.7%,92917,57.2%,41
Walnut Park,33.9680825,-118.2217405,80065,44.2%,57508,22.8%,34
Watts,33.93879825,-118.2405826,57447,68.8%,88987,29.0%,32
West Adams,34.02975842,-118.351352,17834,19.2%,60445,9.2%,32
West Carson,33.82407838,-118.2926989,84084,71.3%,69013,54.8%,38
West Compton,33.895856,-118.2673015,36844,49.6%,57710,49.8%,32
West Covina,34.05008643,-117.9134762,482,52.7%,73917,57.2%,41
West Hills,34.20343186,-118.6323703,2082,57.7%,92917,57.2%,41
West Hollywood,34.089384,-118.3704499,80065,44.2%,57508,22.8%,34
West Los Angeles,34.046507,-118.4281351,157447,68.8%,88987,29.0%,32
West Puente Valley,34.052284,-117.9661659,17834,19.2%,60445,9.2%,32
West Whittier-Los Nietos,33.97596492,-118.067529,84084,71.3%,69013,54.8%,38
Westchester,33.96125967,-118.3992285,35844,49.6%,57710,49.8%,32
Westlake,34.06128668,-118.2751542,482,52.7%,73917,57.2%,41
Westlake Village,34.15031,-118.8103243,5271,76.0%,70134,21.7%,41
Westmont,33.94151543,-118.3005175,8609,65.3%,122833,46.3%,32
Westwood,34.06367304,-118.441678,34034,78.0%,75657,49.4%,38
Whittier,33.96958053,-118.0285891,75848,17.9%,51290,10.7%,28
Whittier Narrows,34.032494,-118.0598455,15316,64.9%,68720,22.0%,37
Willowbrook,33.91756525,-118.2481064,69299,20.7%,65783,11.6%,28
Wilmington,33.78568653,-118.2656373,35502,70.7%,73195,40.3%,38
Windsor Square,34.068961,-118.3172323,17834,19.2%,60445,9.2%,32
Winnetka,34.21130723,-118.5757496,20257,7.4%,65527,7.9%,26
Woodland Hills,34.16735654,-118.6065334,8334,69.8%,145628,60.2%,43
